asOfDate,expiration,contractSymbol,spot,strike,maturity,marketPrice,impliedVol
2026-03-03,2026-03-04,O:SPY260304C00655000,680.33,655,0.00270377,27.29,0.0001
2026-03-03,2026-03-04,O:SPY260304C00668000,680.33,668,0.00270377,12.59,0.223074
2026-03-03,2026-03-04,O:SPY260304C00681000,680.33,681,0.00270377,2.72,0.213102
2026-03-03,2026-03-04,O:SPY260304C00695000,680.33,695,0.00270377,0.02,0.174121
2026-03-03,2026-03-05,O:SPY260305C00668000,680.33,668,0.00544349,15.03,0.35889
2026-03-03,2026-03-05,O:SPY260305C00681000,680.33,681,0.00544349,4,0.212446
2026-03-03,2026-03-05,O:SPY260305C00695000,680.33,695,0.00544349,0.1,0.155064
2026-03-03,2026-03-05,O:SPY260305C00708000,680.33,708,0.00544349,0.01,0.197484
2026-03-03,2026-03-06,O:SPY260306C00662000,680.33,662,0.00818322,20.37,0.323957
2026-03-03,2026-03-06,O:SPY260306C00678000,680.33,678,0.00818322,7.06,0.232324
2026-03-03,2026-03-06,O:SPY260306C00694000,680.33,694,0.00818322,0.42,0.161494
2026-03-03,2026-03-06,O:SPY260306C00711000,680.33,711,0.00818322,0.01,0.17602
2026-03-03,2026-03-06,O:SPY260306C00735000,680.33,735,0.00818322,0.01,0.292951
2026-03-03,2026-03-09,O:SPY260309C00668000,680.33,668,0.0162882,17.25,0.27803
2026-03-03,2026-03-09,O:SPY260309C00681000,680.33,681,0.0162882,6.35,0.186543
2026-03-03,2026-03-09,O:SPY260309C00695000,680.33,695,0.0162882,0.64,0.133587
2026-03-03,2026-03-09,O:SPY260309C00708000,680.33,708,0.0162882,0.01,0.113044
2026-03-03,2026-03-10,O:SPY260310C00668000,680.33,668,0.019028,16.93,0.245599
2026-03-03,2026-03-10,O:SPY260310C00681000,680.33,681,0.019028,7.05,0.190311
2026-03-03,2026-03-10,O:SPY260310C00695000,680.33,695,0.019028,0.94,0.138351
2026-03-03,2026-03-10,O:SPY260310C00708000,680.33,708,0.019028,0.02,0.112322
2026-03-03,2026-03-11,O:SPY260311C00635000,680.33,635,0.0217677,48.17,0.401894
2026-03-06,2026-03-09,O:SPY260309C00662000,672.38,662,0.00807503,11.91,0.204636
2026-03-06,2026-03-09,O:SPY260309C00678000,672.38,678,0.00807503,2.23,0.182428
2026-03-06,2026-03-09,O:SPY260309C00695000,672.38,695,0.00807503,0.02,0.147677
2026-03-06,2026-03-09,O:SPY260309C00712000,672.38,712,0.00807503,0.01,0.224797
2026-03-06,2026-03-10,O:SPY260310C00540000,672.38,540,0.0108148,134.7,0.2
2026-03-06,2026-03-10,O:SPY260310C00645000,672.38,645,0.0108148,27.9,0.228309
2026-03-06,2026-03-10,O:SPY260310C00659000,672.38,659,0.0108148,15.59,0.240353
2026-03-06,2026-03-10,O:SPY260310C00673000,672.38,673,0.0108148,6.16,0.226621
2026-03-06,2026-03-10,O:SPY260310C00688000,672.38,688,0.0108148,0.51,0.164451
2026-03-06,2026-03-10,O:SPY260310C00702000,672.38,702,0.0108148,0.01,0.149858
2026-03-06,2026-03-11,O:SPY260311C00645000,672.38,645,0.0135545,29.66,0.340642
2026-03-06,2026-03-11,O:SPY260311C00659000,672.38,659,0.0135545,16.96,0.270349
2026-03-06,2026-03-11,O:SPY260311C00673000,672.38,673,0.0135545,7.46,0.242902
2026-03-06,2026-03-11,O:SPY260311C00688000,672.38,688,0.0135545,1.03,0.179596
2026-03-06,2026-03-11,O:SPY260311C00702000,672.38,702,0.0135545,0.01,0.13355
2026-03-06,2026-03-11,O:SPY260311C00716000,672.38,716,0.0135545,0.01,0.188252
2026-03-06,2026-03-12,O:SPY260312C00673000,672.38,673,0.0162942,8.45,0.249401
2026-03-06,2026-03-12,O:SPY260312C00688000,672.38,688,0.0162942,1.55,0.187954
2026-03-06,2026-03-12,O:SPY260312C00702000,672.38,702,0.0162942,0.02,0.130726
2026-03-06,2026-03-13,O:SPY260313C00618000,672.38,618,0.0190339,55.97,0.415381
2026-03-06,2026-03-13,O:SPY260313C00630000,672.38,630,0.0190339,44.3,0.363309
2026-03-06,2026-03-13,O:SPY260313C00641000,672.38,641,0.0190339,34.85,0.366616
2026-03-06,2026-03-13,O:SPY260313C00652000,672.38,652,0.0190339,24.63,0.308567
2026-03-06,2026-03-13,O:SPY260313C00663000,672.38,663,0.0190339,16.07,0.282805
2026-03-06,2026-03-13,O:SPY260313C00675000,672.38,675,0.0190339,8.35,0.252687
2026-03-06,2026-03-13,O:SPY260313C00686000,672.38,686,0.0190339,2.87,0.206443
2026-03-06,2026-03-13,O:SPY260313C00697000,672.38,697,0.0190339,0.32,0.15654
2026-03-10,2026-03-11,O:SPY260311C00655000,677.18,655,0.00270973,22.32,0.305944
2026-03-10,2026-03-11,O:SPY260311C00670000,677.18,670,0.00270973,9.38,0.352309
2026-03-10,2026-03-11,O
